Agent,Username,Case Deposit,Deposit Amount,Case Withdraw,Withdraw Amount,Month
JMMY,Kran838,11,220,0,0,February
JMMY,jamal324,26,1350,5,1062,February
JMMY,MUNIF28,1,50,0,0,February
JMMY,Bluray533,5,111,0,0,February
JMMY,Sullastri624,2,80,0,0,February
JMMY,haikal51,5,280,0,0,February
JMMY,LOGAN21,1,480,0,0,February
JMMY,layang57D,5,380,0,0,February
JMMY,velo01D,2,60,0,0,February
JMMY,mamat317,1,100,0,0,February
JMMY,LIFTO62,3,120,0,0,February
JMMY,Sultan62J,1,70,0,0,February
JMMY,kupured72HH,4,120,0,0,February
JMMY,shah67J,2,60,0,0,February
JMMY,thomi64,25,5770,5,6987,February
JMMY,badan51Z,7,180,0,0,February
JMMY,coba601YN,2,50,1,138,February
JMMY,Comando56,1,30,0,0,February
JMMY,bilal124J,2,60,0,0,February
JMMY,ALAUDIN700j,1,100,0,0,February
JMMY,Thanabal582,1,20,0,0,February
JMMY,jay26MR,2,60,0,0,February
JMMY,Tahjib77MK,5,690,2,432,February
JMMY,IDMdTahjib48,5,240,1,291,February
JMMY,junaidi14,2,65,0,0,February
JMMY,Razak05J,14,280,1,255,February
JMMY,cat71D,1,20,0,0,February
JMMY,BNHTO23,1,30,0,0,February
JMMY,elang80MR,1,20,0,0,February
JMMY,PULTO22,1,50,0,0,February
JMMY,roknat05HH,3,70,1,300,February
JMMY,linda873J,1,20,0,0,February
JMMY,CFVTO54,1,20,0,0,February
JMMY,azlan75D,2,100,0,0,February
JMMY,MANISAN7,1,20,0,0,February
JMMY,MKTO54,1,30,0,0,February
JMMY,FTRTO7,8,810,1,201,February
JMMY,mohidul57,8,204.2,2,200,February
JMMY,nia40D,2,90,0,0,February
JMMY,reymond29J,1,40,0,0,February
JMMY,Eswary06,1,600,0,0,February
JMMY,saini14D,1,300,1,1027,February
JMMY,WAITO70,2,40,0,0,February
JMMY,jant00D,1,50,0,0,February
JMMY,toffal92J,1,50,0,0,February
JMMY,bosan82Z,3,148,0,0,February
JMMY,sueka21D,1,20,0,0,February
JMMY,songkrang94D,3,300,1,450,February
JMMY,suap45D,2,120,0,0,February
JMMY,jayadi3J,1,30,0,0,February
JMMY,KAHAR29,1,30,0,0,February
JMMY,oran73D,3,70,0,0,February
JMMY,Afis527,8,228,3,410,February
JMMY,chit00,5,150,0,0,February
JMMY,cicadas090YN,1,50,0,0,February
JMMY,Haymitch,5,155,1,100,February
JMMY,syedaqil21,15,415,1,400,February
JMMY,lugu179,2,60,0,0,February
JMMY,AMZZ54,10,480,5,717,February
JMMY,suxu75D,1,50,0,0,February
JMMY,save47HH,2,60,0,0,February
JMMY,ros36,50,3047,7,1720,February
JMMY,sivam17J,1,20,0,0,February
JMMY,saif09to,3,150,0,0,February
JMMY,Mohan767,5,1200,0,0,February
JMMY,AMMAR815,2,60,0,0,February
JMMY,leon63D,1,23,0,0,February
JMMY,nikto51D,8,190,1,800,February
JMMY,Danial56ii,2,65,0,0,February
JMMY,terpo59MR,0,0,0,0,February
JMMY,Hakimie56ii,2,170,0,0,February
JMMY,dung12D,10,380,3,400,February
JMMY,kolak302,1,50,0,0,February
JMMY,RAO654,4,126,0,0,February
JMMY,MEWTO41,2,60,1,150,February
JMMY,Maniac99,1,200,0,0,February
JMMY,jera44D,82,5100,20,4836,February
JMMY,silviaa837,2,350,0,0,February
JMMY,Hijau22,1,20,0,0,February
JMMY,lalala843,2,60,0,0,February
JMMY,STAYHOME84,14,777,1,130,February
JMMY,baitulHH5,2,80,0,0,February
JMMY,Aiman_90Mk,1,30,0,0,February
JMMY,SYAZWAN510,2,80,0,0,February
JMMY,anna9626,21,680,6,1371,February
JMMY,HAZIP89,1,50,0,0,February
JMMY,dewiko882,4,200,0,0,February
JMMY,lima30MR,1,20,0,0,February
JMMY,ujees226,1,100,0,0,February
JMMY,Edd879,4,200,0,0,February
JMMY,ROY3528,1,30,0,0,February
JMMY,pop11MR,2,60,0,0,February
JMMY,NIMA70,1,20,0,0,February
JMMY,teamo98u458J,10,470,0,0,February
JMMY,thesure78S,4,90,0,0,February
JMMY,psg52D,4,170,0,0,February
JMMY,kini44J,1,30,0,0,February
JMMY,Bird_47MK,5,230,1,100,February
JMMY,AIMIN856,28,2619,1,500,February
JMMY,CHOUNG13,1,51,0,0,February
JMMY,cikole365YN,1,50,0,0,February
JMMY,WJKTO38,1,20,0,0,February
JMMY,Nura330,1,30,0,0,February
JMMY,SATYA690,6,158,1,100,February
JMMY,CJGTO76,2,100,0,0,February
JMMY,Mio_52Mk,1,20,0,0,February
JMMY,amboo46D,2,190,0,0,February
JMMY,IDLaw68,34,2460,6,1913,February
JMMY,boldyou23HH,1,80,0,0,February
JMMY,sedan13HH,1,40,0,0,February
JMMY,whtsip30HH,1,20,0,0,February
JMMY,lokei83Z,1,50,0,0,February
JMMY,surui45,1,50,0,0,February
JMMY,shelk491J,1,50,0,0,February
JMMY,qitela88,11,476,0,0,February
JMMY,kaile70MR,2,60,0,0,February
JMMY,yout72MR,1,100,0,0,February
JMMY,anis65D,1,30,0,0,February
JMMY,karje743Z,4,240,0,0,February
JMMY,Rapp300,2,80,0,0,February
JMMY,kuma08to,1,20,0,0,February
JMMY,lato05,12,408.1,1,100,February
JMMY,wokk77D,5,350,1,500,February
JMMY,SURKEN84J,1,30,0,0,February
JMMY,Amir688J,1,50,1,400,February
JMMY,Zainudin75J,1,30,0,0,February
JMMY,fadli53D,7,460,1,500,February
JMMY,MDMONU400,2,145,0,0,February
