Username,Case Deposit,Deposit Amount,Case Withdraw,Withdraw Amount,,,,,,,,,,,,
aidil05J,4,80,1,150,,,,,,,,,,,,
GOIB02,12,510,2,350,,,,,,,,,,,,
privatejoee42J,1,20,0,0,,,,,,,,,,,,
rend65HH,5,422.9,1,404,,,,,,,,,,,,
smas93MR,1,50,0,0,,,,,,,,,,,,
papap12,2,70,0,0,,,,,,,,,,,,
coco17HH,1,50,0,0,,,,,,,,,,,,
HATIK76,1,50,0,0,,,,,,,,,,,,
beser53D,1,50,1,100,,,,,,,,,,,,
violet35,10,1270,1,700,,,,,,,,,,,,
jeckotr604Z,1,80,0,0,,,,,,,,,,,,
taju18MR,1,20,0,0,,,,,,,,,,,,
usap93D,1,30,0,0,,,,,,,,,,,,
LOOVE68,6,600,0,0,,,,,,,,,,,,
Cahna26,2,60,1,102,,,,,,,,,,,,
jokiy30HH,1,100,0,0,,,,,,,,,,,,
zack035,25,962,3,546,,,,,,,,,,,,
pasir06D,1,50,0,0,,,,,,,,,,,,
SAGOR33,101,7975,21,9355,,,,,,,,,,,,
mater765,0,0,0,0,,,,,,,,,,,,
Xenovia34,9,340,2,400,,,,,,,,,,,,
zairimah32,5,150,0,0,,,,,,,,,,,,
Rozaidi12,2,200,0,0,,,,,,,,,,,,
Musa886,5,200,0,0,,,,,,,,,,,,
busay17,16,1210,8,1373,,,,,,,,,,,,
yadav92D,6,277,1,270,,,,,,,,,,,,
hope49HH,1,50,0,0,,,,,,,,,,,,
abangkavi3J,3,90,2,210,,,,,,,,,,,,
Hakim657,3,96,1,100,,,,,,,,,,,,
jangut15Z,1,20,0,0,,,,,,,,,,,,
sapa69,1,40,0,0,,,,,,,,,,,,
heran22HH,9,270,1,200,,,,,,,,,,,,
tafa22MR,1,200,0,0,,,,,,,,,,,,
riskii315,2,90,0,0,,,,,,,,,,,,
hazlan98J,4,110,0,0,,,,,,,,,,,,
Muhammad72,1,50,0,0,,,,,,,,,,,,
ISFAZRUL62,18,999,4,1301,,,,,,,,,,,,
gugu80,21,604,4,700,,,,,,,,,,,,
MDABUBAKO84jj,4,370,2,1153,,,,,,,,,,,,
Hossen632,2,200,0,0,,,,,,,,,,,,
ricer34HH,2,80,0,0,,,,,,,,,,,,
puncak37J,1,50,0,0,,,,,,,,,,,,
Kocakk63J,2,40,0,0,,,,,,,,,,,,
maatmen36,1,200,0,0,,,,,,,,,,,,
JNHTO97,7,290,0,0,,,,,,,,,,,,
koboy97D,10,1400,2,1466,,,,,,,,,,,,
gorengan25,17,3240,3,2491,,,,,,,,,,,,
duduk42,30,1610,6,1750,,,,,,,,,,,,
siling97,1,50,0,0,,,,,,,,,,,,
kuakui6288J,1,20,0,0,,,,,,,,,,,,
GITO32,1,150,0,0,,,,,,,,,,,,
Mrkim20,1,60,0,0,,,,,,,,,,,,
rebeca44HH,5,230,1,208,,,,,,,,,,,,
KJM381,1,100,0,0,,,,,,,,,,,,
songe26D,40,6850,6,10650,,,,,,,,,,,,
kucingTO,3,70,1,100,,,,,,,,,,,,
Kran838,11,220,0,0,,,,,,,,,,,,
jamal324,26,1350,5,1062,,,,,,,,,,,,
MUNIF28,1,50,0,0,,,,,,,,,,,,
Bluray533,5,111,0,0,,,,,,,,,,,,
Sullastri624,2,80,0,0,,,,,,,,,,,,
haikal51,5,280,0,0,,,,,,,,,,,,
LOGAN21,1,480,0,0,,,,,,,,,,,,
layang57D,5,380,0,0,,,,,,,,,,,,
velo01D,2,60,0,0,,,,,,,,,,,,
mamat317,1,100,0,0,,,,,,,,,,,,
LIFTO62,3,120,0,0,,,,,,,,,,,,
Sultan62J,1,70,0,0,,,,,,,,,,,,
kupured72HH,4,120,0,0,,,,,,,,,,,,
shah67J,2,60,0,0,,,,,,,,,,,,
thomi64,25,5770,5,6987,,,,,,,,,,,,
badan51Z,7,180,0,0,,,,,,,,,,,,
coba601YN,2,50,1,138,,,,,,,,,,,,
Comando56,1,30,0,0,,,,,,,,,,,,
bilal124J,2,60,0,0,,,,,,,,,,,,
ALAUDIN700j,1,100,0,0,,,,,,,,,,,,
Thanabal582,1,20,0,0,,,,,,,,,,,,
jay26MR,2,60,0,0,,,,,,,,,,,,
Tahjib77MK,5,690,2,432,,,,,,,,,,,,
IDMdTahjib48,5,240,1,291,,,,,,,,,,,,
junaidi14,2,65,0,0,,,,,,,,,,,,
Razak05J,14,280,1,255,,,,,,,,,,,,
cat71D,1,20,0,0,,,,,,,,,,,,
BNHTO23,1,30,0,0,,,,,,,,,,,,
elang80MR,1,20,0,0,,,,,,,,,,,,
PULTO22,1,50,0,0,,,,,,,,,,,,
roknat05HH,3,70,1,300,,,,,,,,,,,,
linda873J,1,20,0,0,,,,,,,,,,,,
CFVTO54,1,20,0,0,,,,,,,,,,,,
azlan75D,2,100,0,0,,,,,,,,,,,,
MANISAN7,1,20,0,0,,,,,,,,,,,,
MKTO54,1,30,0,0,,,,,,,,,,,,
FTRTO7,8,810,1,201,,,,,,,,,,,,
mohidul57,8,204.2,2,200,,,,,,,,,,,,
nia40D,2,90,0,0,,,,,,,,,,,,
reymond29J,1,40,0,0,,,,,,,,,,,,
Eswary06,1,600,0,0,,,,,,,,,,,,
saini14D,1,300,1,1027,,,,,,,,,,,,
WAITO70,2,40,0,0,,,,,,,,,,,,
jant00D,1,50,0,0,,,,,,,,,,,,
toffal92J,1,50,0,0,,,,,,,,,,,,
bosan82Z,3,148,0,0,,,,,,,,,,,,
sueka21D,1,20,0,0,,,,,,,,,,,,
songkrang94D,3,300,1,450,,,,,,,,,,,,
suap45D,2,120,0,0,,,,,,,,,,,,
jayadi3J,1,30,0,0,,,,,,,,,,,,
KAHAR29,1,30,0,0,,,,,,,,,,,,
oran73D,3,70,0,0,,,,,,,,,,,,
